"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Leiden"
"Nummer";;"HSB15"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alphen aan den Rijn";"Capelle aan den IJssel";"Gouda";"Hillegom";"Katwijk";"Krimpen aan den IJssel";"Leiden";"Leiderdorp";"Lisse";"Nieuwkoop";"Noordwijk";"Oegstgeest";"Voorschoten";"Waddinxveen";"Wassenaar";"Zoetermeer";"Zoeterwoude";"Teylingen";"Lansingerland";"Kaag en Braassem";"Zuidplas";"Bodegraven-Reeuwijk";"Leidschendam-Voorburg";"Pijnacker-Nootdorp";"Krimpenerwaard"
;;"5";"Sneller, J.C.";"224";"12";"8";"12";"3";"4";"3";"36";"3";"1";"6";"9";"7";"5";"3";"10";"19";"4";"12";"10";"5";"4";"5";"26";"16";"1"
;;"6";"Rooderkerk, I.";"901";"62";"22";"56";"12";"25";"10";"222";"24";"18";"19";"31";"34";"19";"27";"21";"46";"7";"34";"35";"34";"27";"16";"60";"29";"11"
;;"7";"Paulusma, W.";"508";"41";"10";"30";"7";"11";"6";"93";"20";"19";"9";"20";"23";"10";"11";"7";"26";"5";"27";"22";"10";"9";"16";"38";"23";"15"
;;"8";"van der Werf, J.J.";"1605";"82";"18";"55";"16";"32";"9";"259";"34";"22";"16";"41";"50";"41";"21";"22";"95";"24";"63";"71";"24";"23";"16";"421";"134";"16"
;;"9";"Bamenga, P.";"192";"20";"11";"12";"1";"4";"0";"46";"7";"0";"1";"2";"11";"5";"5";"2";"9";"2";"5";"5";"3";"5";"2";"25";"8";"1"
;;"10";"de Groot, T.C.";"335";"17";"10";"26";"7";"4";"3";"75";"13";"5";"8";"13";"16";"8";"4";"10";"21";"3";"7";"12";"4";"4";"9";"27";"17";"12"
;;"11";"Synhaeve, M.";"754";"54";"17";"44";"11";"23";"6";"249";"15";"3";"5";"18";"30";"17";"12";"10";"38";"4";"23";"35";"13";"16";"20";"60";"23";"8"
;;"12";"van Ginneken, L.M.";"974";"72";"20";"53";"18";"18";"11";"245";"27";"16";"17";"27";"30";"28";"14";"19";"50";"5";"41";"42";"28";"25";"29";"77";"43";"19"
;;"13";"Belhaj, S.";"600";"21";"65";"42";"6";"10";"23";"90";"7";"4";"0";"9";"17";"9";"9";"9";"24";"1";"14";"78";"6";"45";"6";"39";"37";"29"
;;"14";"Boulakjar, F.";"53";"10";"2";"4";"0";"2";"1";"12";"0";"1";"0";"1";"3";"0";"1";"0";"7";"1";"1";"1";"0";"1";"0";"1";"2";"2"
;;"15";"Sahla, F.";"207";"14";"7";"17";"3";"4";"4";"55";"11";"1";"3";"3";"6";"8";"6";"5";"13";"0";"2";"10";"1";"1";"5";"22";"6";"0"
;;"16";"Klos, F.C.O.";"99";"9";"2";"1";"0";"2";"2";"17";"0";"1";"2";"1";"4";"1";"1";"1";"4";"0";"3";"9";"5";"0";"0";"10";"21";"3"
